;;;;;;;;;;;Package.Mass.Value;;
ID;WEEK COM;MONTH;ORIGIN;ORIGIN CITY;DESTINATION  (DROP LIST);MODE;UNITS;CARTON;GOH UNITS;TOTAL UNITS;WEIGHT;CBM;TYPE
485;1/3/2022;January;Turkey;Istanbul;US;Sea;14949;1003;0;14949;10030;72,216;FCL
486;1/3/2022;January;Turkey;Istanbul;US;Sea;18602;972;0;18602;9720;69,984;FCL
487;1/3/2022;January;Turkey;Istanbul;US;Sea;17824;988;0;17824;9880;71,136;FCL
488;1/3/2022;January;Turkey;Istanbul;US;Sea;25818;1014;0;25818;10140;73,008;FCL
489;1/3/2022;January;Turkey;Istanbul;US;Sea;21798;881;0;21798;8810;63,432;FCL
490;1/3/2022;January;Turkey;Istanbul;US;Sea;14857;921;0;14857;9210;66,312;FCL
491;1/3/2022;January;Turkey;Istanbul;US;Sea;16689;1010;0;16689;10100;72,72;FCL
492;1/3/2022;January;Turkey;Istanbul;US;Sea;21240;994;0;21240;9940;66,44;FCL
493;1/3/2022;January;Turkey;Istanbul;US;Sea;6948;491;0;6948;4910;35,352;FCL
494;1/3/2022;January;Turkey;Istanbul;US;Sea;17851;821;0;17851;8210;59,112;FCL
495;1/10/2022;January;Turkey;Istanbul;UK;Road;30997;1402;0;30997;14020;100,944;FTL
496;1/10/2022;January;Turkey;Istanbul;UK;Road;23439;902;2067;25506;11087;64,944;FTL
497;1/10/2022;January;Turkey;Istanbul;UK;Road;32527;1278;0;32527;12780;92,016;FTL
498;1/10/2022;January;Turkey;Istanbul;DE;Road;30773;1277;0;30773;12770;91,944;FTL
499;1/10/2022;January;Turkey;Istanbul;UK;Road;30211;1322;0;30211;13220;95,184;FTL
500;1/10/2022;January;Turkey;Istanbul;UK;Road;21066;689;0;21066;6890;49,608;LTL
501;1/10/2022;January;Turkey;Istanbul;DE;Road;29473;1295;188;29661;13138;93,24;FTL
502;1/10/2022;January;Turkey;Istanbul;UK;Road;38728;1300;0;38728;13000;93,6;FTL
503;1/10/2022;January;Turkey;Istanbul;DE;Road;26423;1277;0;26423;12770;91,944;FTL
504;1/10/2022;January;Turkey;Istanbul;UK;Road;31233;1147;0;31233;11470;82,584;FTL
505;1/10/2022;January;Turkey;Istanbul;UK;Road;27985;895;0;27985;8950;64,44;FTL
506;1/10/2022;January;Turkey;Istanbul;UK;Road;33873;1396;826;34699;14786;100,512;FTL
507;1/10/2022;January;Turkey;Istanbul;UK;Road;25406;1153;0;25406;11530;83,016;FTL
508;1/10/2022;January;Turkey;Istanbul;DE;Road;35123;1335;0;35123;13350;96,12;FTL
509;1/10/2022;January;Turkey;Istanbul;UK;Road;36549;1240;0;36549;12400;89,28;FTL
510;1/10/2022;January;Spain;Madrid;DE;Road;5337;474;0;5337;4740;34,128;FTL
511;1/10/2022;January;Spain;Barcelona;DE;Road;23304;956;0;23304;9560;68,832;FTL
512;1/10/2022;January;Spain;Barcelona;DE;Road;12412;599;0;12412;5990;43,128;FTL
513;1/10/2022;January;Spain;Barcelona;DE;Road;16781;1024;0;16781;10240;73,728;FTL
514;1/10/2022;January;Spain;Barcelona;DE;Road;18002;940;0;18002;9400;67,68;FTL
515;1/10/2022;January;Spain;Barcelona;CZ;Road;20684;1232;0;20684;12320;88,704;FTL
516;1/10/2022;January;Spain;Barcelona;CZ;Road;30475;879;0;30475;8790;63,288;FTL
517;1/10/2022;January;Spain;Barcelona;DE;Road;21296;948;0;21296;9480;68,256;FTL
518;1/10/2022;January;Spain;Barcelona;DE;Road;12533;711;0;12533;7110;51,192;FTL
519;1/10/2022;January;Spain;Barcelona;CZ;Road;30218;846;0;30218;8460;60,912;FTL
520;1/10/2022;January;Spain;Barcelona;CZ;Road;3830;649;0;3830;6490;46,728;FTL
521;1/10/2022;January;Spain;Barcelona;CZ;Road;13719;908;0;13719;9080;65,376;FTL
522;1/10/2022;January;Turkey;Istanbul;US;Sea;2491;154;0;2491;1540;11,088;FCL
523;1/10/2022;January;Turkey;Istanbul;US;Sea;20119;1057;0;20119;10570;76,104;FCL
524;1/10/2022;January;Turkey;Istanbul;US;Sea;4253;196;0;4253;1960;14,112;FCL
525;1/10/2022;January;Turkey;Istanbul;US;Sea;14010;888;0;14010;8880;63,936;FCL
526;1/10/2022;January;Turkey;Istanbul;US;Sea;8554;453;0;8554;4530;32,616;FCL
527;1/10/2022;January;Turkey;Istanbul;US;Sea;17108;1038;0;17108;10380;74,736;FCL
528;1/10/2022;January;Turkey;Istanbul;US;Sea;17975;832;0;17975;8320;59,904;FCL
529;1/10/2022;January;Turkey;Istanbul;US;Sea;14949;1003;0;14949;10030;72,216;FCL
530;1/10/2022;January;Turkey;Istanbul;US;Sea;17824;988;0;17824;9880;71,136;FCL
531;1/17/2022;January;Turkey;Istanbul;DE;Road;24188;594;0;24188;5940;42,768;FTL
532;1/17/2022;January;Turkey;Istanbul;DE;Road;44929;1294;0;44929;12940;93,168;FTL
533;1/17/2022;January;Turkey;Istanbul;UK;Road;29757;1283;0;29757;12830;92,376;FTL
534;1/17/2022;January;Turkey;Istanbul;DE;Road;33997;1296;0;33997;12960;93,312;FTL
535;1/17/2022;January;Spain;Madrid;CZ;Road;18242;827;0;18242;8270;59,544;FTL
536;1/17/2022;January;Spain;Barcelona;CZ;Road;21480;862;0;21480;8620;62,064;FTL
537;1/17/2022;January;Spain;Barcelona;CZ;Road;15712;711;0;15712;7110;51,192;FTL
538;1/17/2022;January;Spain;Barcelona;CZ;Road;16387;486;0;16387;4860;34,992;FTL
539;1/17/2022;January;Spain;Barcelona;CZ;Road;21514;778;0;21514;7780;56,016;FTL
540;1/17/2022;January;Spain;Barcelona;CZ;Road;21126;918;0;21126;9180;66,096;FTL
541;1/17/2022;January;Spain;Barcelona;CZ;Road;20284;879;0;20284;8790;63,288;FTL
542;1/17/2022;January;Spain;Barcelona;CZ;Road;16282;1048;0;16282;10480;75,456;FTL
543;1/17/2022;January;Turkey;Istanbul;US;Sea;12517;990;0;12517;9900;71,28;FCL
544;1/17/2022;January;Turkey;Istanbul;US;Sea;14044;622;0;14044;6220;44,784;FCL
545;1/17/2022;January;Turkey;Istanbul;US;Sea;7178;262;0;7178;2620;18,864;FCL
546;1/24/2022;January;Turkey;Istanbul;US;Sea;13271;646;0;13271;6460;46,512;FCL
547;1/24/2022;January;Turkey;Istanbul;US;Sea;3927;309;0;3927;3090;22,248;FCL
548;1/24/2022;January;Turkey;Istanbul;US;Sea;17290;960;0;17290;9600;69,12;FCL
549;1/24/2022;January;Turkey;Istanbul;US;Sea;10228;725;0;10228;7250;52,2;FCL
550;1/24/2022;January;Turkey;Istanbul;US;Sea;17760;988;0;17760;9880;71,136;FCL
551;1/24/2022;January;Turkey;Istanbul;US;Sea;20119;1057;0;20119;10570;76,104;FCL
552;1/24/2022;January;Turkey;Istanbul;US;Sea;18602;972;0;18602;9720;69,984;FCL
553;1/24/2022;January;Turkey;Istanbul;US;Sea;2491;154;0;2491;1540;11,088;FCL
554;1/24/2022;January;Turkey;Istanbul;US;Sea;14044;622;0;14044;6220;44,784;FCL
555;1/24/2022;January;Turkey;Istanbul;UK;Road;40510;1219;0;40510;12190;87,768;FTL
556;1/24/2022;January;Turkey;Istanbul;UK;Road;21116;1441;0;21116;14410;103,752;FTL
557;1/24/2022;January;Turkey;Istanbul;UK;Road;27296;1292;0;27296;12920;93,024;FTL
558;1/24/2022;January;Turkey;Istanbul;UK;Road;29023;1300;0;29023;13000;93,6;FTL
559;1/24/2022;January;Turkey;Istanbul;UK;Road;37377;1392;0;37377;13920;100,224;FTL
560;1/24/2022;January;Turkey;Istanbul;DE;Road;16213;909;0;16213;9090;65,448;LTL
561;1/24/2022;January;Turkey;Istanbul;DE;Road;30547;1311;0;30547;13110;94,392;FTL
